img,link,prod,price
https://www.bigbasket.com/media/uploads/p/s/40000679_4-kelloggs-almond-corn-flakes.jpg,https://www.bigbasket.com/pd/40000679/kelloggs-almond-corn-flakes-650-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Almond Corn Flakes,360
https://www.bigbasket.com/media/uploads/p/s/40002118_10-kissan-mixed-fruit-jam.jpg,https://www.bigbasket.com/pd/40002118/kissan-mixed-fruit-jam-700-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Mixed Fruit Jam,205
https://www.bigbasket.com/media/uploads/p/s/302110_1-parle-gluco-biscuits-parle-g.jpg,https://www.bigbasket.com/pd/302110/parle-gluco-biscuits-parle-g-130-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Gluco Biscuits - Parle-G,10
https://www.bigbasket.com/media/uploads/p/s/275076_6-lays-potato-chips-joyful-magic-masala.jpg,https://www.bigbasket.com/pd/275076/lays-potato-chips-joyful-magic-masala-90-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Potato Chips - Joyful Magic Masala,35
https://www.bigbasket.com/media/uploads/p/s/264572_5-britannia-marie-gold-biscuits.jpg,https://www.bigbasket.com/pd/264572/britannia-marie-gold-biscuits-120-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Marie Gold Biscuits,15
https://www.bigbasket.com/media/uploads/p/s/267377_8-cadbury-dairy-milk-fruit-nut-chocolate-bar.jpg,https://www.bigbasket.com/pd/267377/cadbury-dairy-milk-fruit-nut-chocolate-bar-80-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Fruit & Nut Chocolate Bar,90
https://www.bigbasket.com/media/uploads/p/s/40001600_5-britannia-50-50-maska-chaska-salted-biscuits.jpg,https://www.bigbasket.com/pd/40001600/britannia-50-50-maska-chaska-salted-biscuits-50-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,50-50 Maska Chaska Salted Biscuits,10
https://www.bigbasket.com/media/uploads/p/s/40015688_20-kelloggs-corn-flakes.jpg,https://www.bigbasket.com/pd/40015688/kelloggs-corn-flakes-875-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Corn Flakes,310
https://www.bigbasket.com/media/uploads/p/s/100331598_1-britannia-nutri-choice-hi-fibre-digestive-biscuits.jpg,https://www.bigbasket.com/pd/100331598/britannia-nutri-choice-hi-fibre-digestive-biscuits-50-g-8-g-free/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Nutri Choice - Hi Fibre Digestive Biscuits,10
https://www.bigbasket.com/media/uploads/p/s/1204042_2-britannia-bourbon-cream-biscuit-chocolate-flavour.jpg,https://www.bigbasket.com/pd/1204042/britannia-bourbon-cream-biscuit-chocolate-flavour-3x120-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Bourbon Cream Biscuit - Chocolate Flavour,60
